KIWA,"Phoenix, AZ",331721,1114012
KPBZ,"Pittsburgh, PA",403154,801305
KSFX,"Pocatello/Idaho Falls, ID",430621,1124110
KGYX,"Portland, ME",435329,701523
KRTX,"Portland, OR",454253,1225755
KPUX,"Pueblo, CO",382734,1041053
KRAX,"Raleigh/Durham, NC",353956,782923
KUDX,"Rapid City, SD",440730,1024947
KRGX,"Reno, NV",394515,1192744
KRIW,"Riverton, WY",430358,1082838
KFCX,"Roanoke, VA",370128,801626
KJGX,"Robins AFB, GA",324031,832104
KDAX,"Sacramento, CA",383004,1214040
KLSX,"Saint Louis, MO",384156,904058
KMTX,"Salt Lake City, UT",411546,1122652
KSJT,"San Angelo, TX",312217,1002933
KNKX,"San Diego, CA",325508,1170231
KMUX,"San Francisco, CA",370919,1215354
KHNX,"San Joaquin Valley, CA",361851,1193756
TJUA,"San Juan, PR",180656,660441
KSOX,"Santa Ana Mountains, CA",334904,1173809
KATX,"Seattle/Tacoma, WA",481140,1222945
KSHV,"Shreveport, LA",322703,935029
KFSD,"Sioux Falls, SD",433516,964346
PACG,"Sitka, AK",565110,1353145
PHKI,"South Kauai, HI",215339,1593308
PHWA,"South Shore, HI",190542,1553408
KOTX,"Spokane, WA",474049,1173736
KSGF,"Springfield, MO",371407,932402
KCCX,"State College, PA",405523,780013
KLWX,"Sterling, VA",385831,772840
KTLH,"Tallahassee, FL",302351,841944
KTBW,"Tampa, FL",274220,822406
KTWX,"Topeka, KS",385949,961357
KEMX,"Tucson, AZ",315337,1103749
KINX,"Tulsa, OK",361030,953353
KVNX,"Vance AFB, OK",364427,980740
KVBX,"Vandenberg AFB, CA",345017,1202349
KICT,"Wichita, KS",373917,972634
KLTX,"Wilmington, NC",335922,782544
KYUX,"Yuma, AZ",322943,1143924
